train_loss,step,epoch
906.5535888671875,49,0
944.98388671875,99,0
923.4686279296875,149,0
922.552001953125,199,0
891.8828735351562,249,0
904.5751953125,299,0
924.18310546875,349,1
910.833984375,399,1
888.1321411132812,449,1
908.2169799804688,499,1
915.9096069335938,549,1
901.2182006835938,599,1
919.9889526367188,649,2
931.041748046875,699,2
913.579345703125,749,2
921.8143310546875,799,2
942.3571166992188,849,2
920.65673828125,899,2
915.388671875,949,3
884.8778076171875,999,3
931.3734130859375,1049,3
928.69482421875,1099,3
917.025146484375,1149,3
933.61767578125,1199,3
913.853759765625,1249,3
928.71533203125,1299,4
915.3084106445312,1349,4
947.3043212890625,1399,4
932.0582275390625,1449,4
903.5478515625,1499,4
885.7191162109375,1549,4
892.9938354492188,1599,5
920.585205078125,1649,5
904.5018920898438,1699,5
918.8464965820312,1749,5
947.459716796875,1799,5
929.1419677734375,1849,5
914.930908203125,1899,6
922.4076538085938,1949,6
924.7333984375,1999,6
918.1756591796875,2049,6
943.4917602539062,2099,6
906.873046875,2149,6
930.8604736328125,2199,7
917.3001098632812,2249,7
920.7808837890625,2299,7
895.7584838867188,2349,7
912.14599609375,2399,7
917.9635009765625,2449,7
933.3560180664062,2499,7
913.0448608398438,2549,8
929.9375,2599,8
915.4133911132812,2649,8
934.9533081054688,2699,8
913.6717529296875,2749,8
896.6260986328125,2799,8
899.7540283203125,2849,9
924.969482421875,2899,9
905.5606689453125,2949,9
911.29638671875,2999,9
903.9466552734375,3049,9
913.4931030273438,3099,9
902.9758911132812,3149,10
895.5298461914062,3199,10
925.86865234375,3249,10
931.5292358398438,3299,10
926.5411987304688,3349,10
940.3218383789062,3399,10
942.7210693359375,3449,11
912.99365234375,3499,11
892.6446533203125,3549,11
901.3858032226562,3599,11
924.1654052734375,3649,11
927.73828125,3699,11
906.2683715820312,3749,11
937.0919189453125,3799,12
898.5867919921875,3849,12
906.77734375,3899,12
946.0999755859375,3949,12
914.07568359375,3999,12
905.1318969726562,4049,12
906.0751953125,4099,13
905.110595703125,4149,13
928.4205322265625,4199,13
913.3472900390625,4249,13
917.1531982421875,4299,13
936.1483764648438,4349,13
925.6246948242188,4399,14
919.4049072265625,4449,14
898.7323608398438,4499,14
932.6201171875,4549,14
943.1170654296875,4599,14
928.0015258789062,4649,14
895.305419921875,4699,15
932.83837890625,4749,15
939.55517578125,4799,15
908.8961181640625,4849,15
918.3175659179688,4899,15
893.79443359375,4949,15
910.919921875,4999,15
936.0570068359375,5049,16
920.4337158203125,5099,16
917.2718505859375,5149,16
901.2233276367188,5199,16
896.696044921875,5249,16
885.2540283203125,5299,16
922.7865600585938,5349,17
933.330810546875,5399,17
920.056640625,5449,17
916.7069091796875,5499,17
938.7852783203125,5549,17
906.9471435546875,5599,17
923.04833984375,5649,18
914.59619140625,5699,18
920.8966064453125,5749,18
912.8018798828125,5799,18
913.77490234375,5849,18
893.926025390625,5899,18
898.3374633789062,5949,19
928.4735107421875,5999,19
902.5103759765625,6049,19
928.96142578125,6099,19
929.1822509765625,6149,19
904.7672119140625,6199,19
893.47265625,6249,19
897.5407104492188,6299,20
901.2263793945312,6349,20
928.1810302734375,6399,20
902.9306030273438,6449,20
889.113037109375,6499,20
922.51708984375,6549,20
929.4384765625,6599,21
885.9632568359375,6649,21
913.787109375,6699,21
913.6483154296875,6749,21
914.9345703125,6799,21
923.24609375,6849,21
926.8696899414062,6899,22
905.5093994140625,6949,22
916.6376342773438,6999,22
916.4805908203125,7049,22
916.8233642578125,7099,22
908.9068603515625,7149,22
899.533935546875,7199,23
929.142822265625,7249,23
934.355224609375,7299,23
914.2860107421875,7349,23
896.1375122070312,7399,23
925.7283935546875,7449,23
913.7285766601562,7499,23
915.7117309570312,7549,24
905.96826171875,7599,24
917.95947265625,7649,24
913.5826416015625,7699,24
925.3492431640625,7749,24
931.1444702148438,7799,24
917.3773193359375,7849,25
911.7426147460938,7899,25
925.8525390625,7949,25
912.235107421875,7999,25
891.51171875,8049,25
888.2366943359375,8099,25
