train_loss,epoch,step
20.251659393310547,49,49
19.924545288085938,99,99
19.674985885620117,149,149
19.474239349365234,199,199
19.246980667114258,249,249
18.97524070739746,299,299
18.689096450805664,349,349
18.39500617980957,399,399
18.09657096862793,449,449
17.857576370239258,499,499
17.597997665405273,549,549
17.43271255493164,599,599
17.235511779785156,649,649
17.0843448638916,699,699
16.954782485961914,749,749
16.855308532714844,799,799
16.77594757080078,849,849
16.692462921142578,899,899
16.603073120117188,949,949
16.534196853637695,999,999
16.49231719970703,1049,1049
16.443519592285156,1099,1099
16.39794921875,1149,1149
16.36005401611328,1199,1199
16.305822372436523,1249,1249
16.277111053466797,1299,1299
16.270793914794922,1349,1349
16.21708106994629,1399,1399
16.209474563598633,1449,1449
16.198894500732422,1499,1499
16.151554107666016,1549,1549
16.140419006347656,1599,1599
16.12836456298828,1649,1649
16.101680755615234,1699,1699
16.103721618652344,1749,1749
16.09760284423828,1799,1799
16.07967758178711,1849,1849
16.062026977539062,1899,1899
16.0568904876709,1949,1949
16.04958724975586,1999,1999
16.048938751220703,2049,2049
16.028854370117188,2099,2099
16.014047622680664,2149,2149
16.018409729003906,2199,2199
16.012325286865234,2249,2249
16.007822036743164,2299,2299
15.987968444824219,2349,2349
16.006664276123047,2399,2399
15.982894897460938,2449,2449
15.98405933380127,2499,2499
15.985427856445312,2549,2549
15.971728324890137,2599,2599
15.961089134216309,2649,2649
15.94283390045166,2699,2699
15.964557647705078,2749,2749
15.961831092834473,2799,2799
15.953582763671875,2849,2849
15.984312057495117,2899,2899
15.95453929901123,2949,2949
15.96049976348877,2999,2999
15.947980880737305,3049,3049
15.945451736450195,3099,3099
15.945959091186523,3149,3149
15.936491966247559,3199,3199
15.947781562805176,3249,3249
15.94912052154541,3299,3299
15.94128131866455,3349,3349
15.960890769958496,3399,3399
15.911476135253906,3449,3449
15.913053512573242,3499,3499
15.920680046081543,3549,3549
15.900008201599121,3599,3599
15.932690620422363,3649,3649
15.93517017364502,3699,3699
15.958910942077637,3749,3749
15.940654754638672,3799,3799
15.927839279174805,3849,3849
15.905145645141602,3899,3899
15.925320625305176,3949,3949
15.912043571472168,3999,3999
15.915888786315918,4049,4049
15.888143539428711,4099,4099
15.918502807617188,4149,4149
15.895390510559082,4199,4199
15.915839195251465,4249,4249
15.913809776306152,4299,4299
15.92873477935791,4349,4349
15.914321899414062,4399,4399
15.935809135437012,4449,4449
15.93702507019043,4499,4499
15.898707389831543,4549,4549
15.913450241088867,4599,4599
15.907828330993652,4649,4649
15.91818618774414,4699,4699
15.897573471069336,4749,4749
15.889425277709961,4799,4799
15.90588092803955,4849,4849
15.933879852294922,4899,4899
15.893872261047363,4949,4949
15.921231269836426,4999,4999
