train_loss,epoch,step
214.1363983154297,24,49
161.6230926513672,49,99
149.3835906982422,74,149
146.16232299804688,99,199
144.46383666992188,124,249
143.3666229248047,149,299
142.4784698486328,174,349
141.87777709960938,199,399
141.25840759277344,224,449
140.7588348388672,249,499
140.34129333496094,274,549
139.8150634765625,299,599
139.3089599609375,324,649
138.86546325683594,349,699
138.47520446777344,374,749
138.13375854492188,399,799
137.86053466796875,424,849
137.59194946289062,449,899
137.41648864746094,474,949
137.189453125,499,999
137.01522827148438,524,1049
136.844482421875,549,1099
136.706787109375,574,1149
136.65277099609375,599,1199
136.450439453125,624,1249
136.47677612304688,649,1299
136.2978973388672,674,1349
136.23866271972656,699,1399
136.17279052734375,724,1449
136.04466247558594,749,1499
135.9921875,774,1549
135.93148803710938,799,1599
135.921630859375,824,1649
135.86724853515625,849,1699
135.74488830566406,874,1749
135.7121124267578,899,1799
135.65341186523438,924,1849
135.5727081298828,949,1899
135.572998046875,974,1949
135.52005004882812,999,1999
135.47364807128906,1024,2049
135.37326049804688,1049,2099
135.34033203125,1074,2149
135.27105712890625,1099,2199
135.27085876464844,1124,2249
135.14935302734375,1149,2299
135.16151428222656,1174,2349
135.0723114013672,1199,2399
135.08303833007812,1224,2449
135.03536987304688,1249,2499
135.03060913085938,1274,2549
134.9646453857422,1299,2599
134.86148071289062,1324,2649
134.90835571289062,1349,2699
134.7875213623047,1374,2749
134.7601776123047,1399,2799
134.72166442871094,1424,2849
134.69119262695312,1449,2899
134.6707305908203,1474,2949
134.60467529296875,1499,2999
134.55032348632812,1524,3049
134.4928436279297,1549,3099
134.48846435546875,1574,3149
134.44741821289062,1599,3199
134.42796325683594,1624,3249
134.35433959960938,1649,3299
134.3457794189453,1674,3349
134.30282592773438,1699,3399
134.2578125,1724,3449
134.24124145507812,1749,3499
134.25811767578125,1774,3549
134.1883544921875,1799,3599
134.15330505371094,1824,3649
134.11654663085938,1849,3699
134.0821075439453,1874,3749
134.00926208496094,1899,3799
134.0623321533203,1924,3849
134.00904846191406,1949,3899
133.97500610351562,1974,3949
133.9605712890625,1999,3999
