binary_cross_entropy,kl_divergence,train_loss,epoch,step
220.54139709472656,4.84538459777832,230.23216247558594,49,49
175.52401733398438,6.847650051116943,189.2193145751953,99,99
165.39678955078125,6.72536039352417,178.84750366210938,149,149
162.04885864257812,6.491739273071289,175.03233337402344,199,199
160.3391876220703,6.2438764572143555,172.82693481445312,249,249
158.92837524414062,6.032593727111816,170.99356079101562,299,299
157.8836212158203,5.880085468292236,169.643798828125,349,349
156.81051635742188,5.827714443206787,168.4659423828125,399,399
155.86111450195312,5.817162036895752,167.4954376220703,449,449
155.13868713378906,5.753783702850342,166.64625549316406,499,499
154.60824584960938,5.679919719696045,165.96807861328125,549,549
154.17977905273438,5.650289058685303,165.48036193847656,599,599
153.7193603515625,5.627388000488281,164.97413635253906,649,649
153.3243865966797,5.640082836151123,164.60455322265625,699,699
153.0696563720703,5.607546329498291,164.2847442626953,749,749
152.76031494140625,5.611634731292725,163.98358154296875,799,799
152.57861328125,5.562173366546631,163.7029571533203,849,849
152.443603515625,5.55156946182251,163.54673767089844,899,899
152.3392791748047,5.5113959312438965,163.36207580566406,949,949
152.1477813720703,5.5013227462768555,163.15042114257812,999,999
151.9597625732422,5.501396656036377,162.96255493164062,1049,1049
151.70538330078125,5.4982380867004395,162.7018585205078,1099,1099
151.54368591308594,5.51647424697876,162.57662963867188,1149,1149
151.39877319335938,5.501420497894287,162.401611328125,1199,1199
151.30799865722656,5.487035751342773,162.28207397460938,1249,1249
151.08584594726562,5.516034126281738,162.117919921875,1299,1299
150.934814453125,5.4863600730896,161.90753173828125,1349,1349
150.72779846191406,5.51495885848999,161.75772094726562,1399,1399
150.5853271484375,5.50195837020874,161.58924865722656,1449,1449
150.39727783203125,5.498297691345215,161.3938751220703,1499,1499
150.36248779296875,5.452635765075684,161.26776123046875,1549,1549
150.13754272460938,5.482165813446045,161.10186767578125,1599,1599
149.88917541503906,5.506938457489014,160.90304565429688,1649,1649
149.867431640625,5.459039688110352,160.78550720214844,1699,1699
149.5822296142578,5.486111164093018,160.55445861816406,1749,1749
149.5069122314453,5.479818820953369,160.466552734375,1799,1799
149.29421997070312,5.4962992668151855,160.2868194580078,1849,1849
149.1297149658203,5.504827976226807,160.13937377929688,1899,1899
149.0372314453125,5.526967525482178,160.09117126464844,1949,1949
148.87197875976562,5.515522480010986,159.9030303955078,1999,1999
148.8267059326172,5.4656982421875,159.7581024169922,2049,2049
148.85655212402344,5.44334077835083,159.7432403564453,2099,2099
148.6138458251953,5.489101409912109,159.592041015625,2149,2149
148.5013427734375,5.473260879516602,159.44786071777344,2199,2199
148.46812438964844,5.484755992889404,159.43763732910156,2249,2249
148.3718719482422,5.461156368255615,159.294189453125,2299,2299
148.25160217285156,5.4892048835754395,159.23001098632812,2349,2349
148.27818298339844,5.466432571411133,159.21104431152344,2399,2399
148.1339874267578,5.4744768142700195,159.08294677734375,2449,2449
148.15208435058594,5.4866790771484375,159.1254425048828,2499,2499
148.01626586914062,5.486710071563721,158.98968505859375,2549,2549
