binary_cross_entropy,kl_divergence,train_loss,epoch,step
26.628801345825195,2.3635592460632324,28.992361068725586,49,49
23.006820678710938,2.58648419380188,25.593305587768555,99,99
20.16427230834961,2.887233257293701,23.05150604248047,149,149
18.29393768310547,2.9988415241241455,21.29277992248535,199,199
17.04974937438965,3.0565059185028076,20.10625457763672,249,249
16.25042152404785,3.070096015930176,19.320518493652344,299,299
15.6611909866333,3.0718069076538086,18.73299789428711,349,349
15.213438987731934,3.104400873184204,18.317840576171875,399,399
14.893895149230957,3.12287974357605,18.016775131225586,449,449
14.578632354736328,3.1161179542541504,17.69474983215332,499,499
14.302253723144531,3.1266677379608154,17.42892074584961,549,549
14.154325485229492,3.1064565181732178,17.26078224182129,599,599
13.865096092224121,3.1557633876800537,17.020858764648438,649,649
13.748234748840332,3.1493606567382812,16.897594451904297,699,699
13.5999116897583,3.1459336280822754,16.745845794677734,749,749
13.533512115478516,3.1205837726593018,16.654096603393555,799,799
13.404716491699219,3.161879301071167,16.56659507751465,849,849
13.327276229858398,3.1240038871765137,16.45128059387207,899,899
13.194975852966309,3.1468276977539062,16.34180450439453,949,949
13.06783390045166,3.148064136505127,16.215898513793945,999,999
13.018366813659668,3.16719651222229,16.185564041137695,1049,1049
12.958392143249512,3.151118516921997,16.10951042175293,1099,1099
12.858652114868164,3.1700387001037598,16.028690338134766,1149,1149
12.79991340637207,3.15283203125,15.95274543762207,1199,1199
12.731966972351074,3.1514883041381836,15.883455276489258,1249,1249
12.691163063049316,3.151371479034424,15.842535018920898,1299,1299
12.599625587463379,3.196258306503296,15.795884132385254,1349,1349
12.525223731994629,3.1906490325927734,15.715872764587402,1399,1399
12.495802879333496,3.182054281234741,15.677857398986816,1449,1449
12.469109535217285,3.1836092472076416,15.652718544006348,1499,1499
12.42282772064209,3.180687427520752,15.603515625,1549,1549
12.421274185180664,3.169100522994995,15.590374946594238,1599,1599
12.289440155029297,3.2222628593444824,15.511703491210938,1649,1649
