binary_cross_entropy,kl_divergence,train_loss,epoch,step
232.10667419433594,5.373348236083984,237.4800262451172,49,49
190.1195831298828,7.6890740394592285,197.80865478515625,99,99
179.5187225341797,8.050848960876465,187.56956481933594,149,149
177.49900817871094,7.499063968658447,184.99807739257812,199,199
176.53097534179688,7.070739269256592,183.60171508789062,249,249
175.92660522460938,6.830015659332275,182.75662231445312,299,299
175.41616821289062,6.60356330871582,182.0197296142578,349,349
174.48304748535156,6.492486953735352,180.9755401611328,399,399
173.18045043945312,6.502755641937256,179.68321228027344,449,449
171.90655517578125,6.496131420135498,178.40267944335938,499,499
170.8867645263672,6.533015727996826,177.41978454589844,549,549
170.16622924804688,6.485842227935791,176.65206909179688,599,599
169.57826232910156,6.404569625854492,175.9828338623047,649,649
168.93020629882812,6.454325199127197,175.38453674316406,699,699
168.3957977294922,6.407090187072754,174.80288696289062,749,749
167.93772888183594,6.360525131225586,174.29824829101562,799,799
167.4172821044922,6.437935829162598,173.855224609375,849,849
167.10304260253906,6.29481315612793,173.39785766601562,899,899
166.69271850585938,6.294195175170898,172.98690795898438,949,949
166.4636993408203,6.229877948760986,172.69357299804688,999,999
166.18356323242188,6.197604179382324,172.38116455078125,1049,1049
165.9297637939453,6.2225775718688965,172.15234375,1099,1099
165.771728515625,6.154455661773682,171.92617797851562,1149,1149
165.6545867919922,6.098254680633545,171.75283813476562,1199,1199
165.47866821289062,6.087015151977539,171.56568908691406,1249,1249
165.34963989257812,6.080714225769043,171.43035888671875,1299,1299
165.27232360839844,6.037909984588623,171.3102264404297,1349,1349
165.0905303955078,6.1042914390563965,171.19482421875,1399,1399
164.9912872314453,6.064325332641602,171.0556182861328,1449,1449
164.91757202148438,6.136346340179443,171.05392456054688,1499,1499
164.85086059570312,6.059722900390625,170.91058349609375,1549,1549
164.93035888671875,5.954510688781738,170.88487243652344,1599,1599
164.85494995117188,5.951657772064209,170.80661010742188,1649,1649
164.73748779296875,6.028746128082275,170.7662353515625,1699,1699
164.79356384277344,5.906370162963867,170.69993591308594,1749,1749
164.6661376953125,5.999436855316162,170.6655731201172,1799,1799
164.6683807373047,5.956395626068115,170.62477111816406,1849,1849
164.66873168945312,5.9589314460754395,170.62767028808594,1899,1899
164.65875244140625,5.914827346801758,170.57357788085938,1949,1949
164.6443634033203,5.917550563812256,170.56192016601562,1999,1999
164.64797973632812,5.901576519012451,170.549560546875,2049,2049
164.57806396484375,5.964714050292969,170.54278564453125,2099,2099
