train_loss,epoch,step
18.54611587524414,49,49
17.38170623779297,99,99
16.687591552734375,149,149
16.335006713867188,199,199
16.160533905029297,249,249
16.08234977722168,299,299
16.005895614624023,349,349
15.987506866455078,399,399
15.976783752441406,449,449
15.951045036315918,499,499
15.94044303894043,549,549
15.928386688232422,599,599
15.905141830444336,649,649
15.934282302856445,699,699
15.916467666625977,749,749
15.90106201171875,799,799
15.922913551330566,849,849
15.897188186645508,899,899
